Author,Comment,LikeCount,PublishedAt
@mannyathabang1315,Treadmill commercials should be like this😂,297978,2023-10-14T15:04:31Z
@briengakaplan-b1550,This is the best advertising for a  treadmill model ever created.,9365,2024-01-21T04:19:35Z
@kpomalproductions5254,I&#39;ve gotta say Daniel is the most physically active and dynamic person I&#39;ve seen on YouTube,7182,2023-10-24T06:42:22Z
@DouggieFreshhh,Any video this guy makes is a hit every time. I respect the genius sir.,48,2025-01-11T21:25:27Z
@m.hreels9822,Riding that unicycle was honestly extremely impressive,15800,2024-01-16T01:27:53Z
@xx4u2fearxx89,This man is a certified and professional upstairs neighbor.,72912,2023-10-17T09:59:26Z
@ThrowingKnivez7,I highly admire this dudes athleticism,5711,2023-11-19T16:54:04Z
@UnicornzRreal92,The sleeping looks like me when I&#39;m tryna get comfy😂,490,2025-01-12T09:41:27Z
@rsports7713,Dude got the strongest treadmill....,2242,2023-10-22T10:58:26Z
@TokoNuttz808,This is the upstairs neighbor everyone talks about. 😂,76278,2023-10-16T01:33:38Z
@eekchiz,That treadmill is seriously on life-support right now😂,9953,2023-10-19T17:52:15Z
@BillCipherTheGayTriangle,Imagine it’s three am. and you just hear your neighbors snowboarding on their treadmill,7091,2024-01-12T22:27:46Z
@nno8901,"Bro is lowkey the most fit dude ever, imagine making a skit like this a few times a week thats cardio lmao",3176,2023-10-20T04:28:15Z
@picklepoe641,This man is really skilled actually.,3125,2024-01-27T18:34:51Z
@thesteviathan,The sleeping on the treadmill is a perfect representation of my anxiety,1659,2023-10-18T23:01:26Z
@Evolvedl,Dude&#39;s definitely not skipping leg day.,5201,2023-10-23T05:12:59Z
@shshehdhdbdh,I swear he has more energy than literal toddlers,2760,2023-10-17T11:35:17Z
@sb1012,Nah the sleeping one is crazy 😅😂🤣,1,2025-03-21T02:44:48Z
@justdragogames,Bro was kinda killing it on that unicycle 🤣 called us all untalented without even saying a word 😭,891,2023-10-24T22:48:16Z
@pikachubrando8303,This man is unstoppable at this point,751,2023-10-28T13:37:50Z
@kstanwohoo,This man does the most random things ever and I am here for it .,2305,2023-10-25T21:30:54Z
@FunkyxMonkey,“Bouncing on a ball”<br>My dirty mind 💀,2,2025-01-26T15:51:20Z
@theonlyyraya,The sleepin one took me out 😂.,4281,2023-11-25T08:53:34Z
@Smithson52,This guy must be strong AF to do all of this. Huge props!,1618,2023-10-22T01:39:49Z
@sharadgupta5280,Bro violated that treadmill completely 💀,9779,2023-10-28T09:50:11Z
@video_banani_nahi_aati,"his stability, stamina, strength, balance and focus is incredible.",1929,2023-10-25T08:53:19Z
@krystalmoon2122,&quot;Where we&#39;re you sleeping last night?&quot;<br><br>&quot;On a treadmill&quot;,3681,2023-12-01T08:25:16Z
@vikingghost117,This bro is a modern day Charlie Chaplin. 💯,2277,2023-10-22T08:35:34Z
@yeremkevorkian1762,They say he’s still trying to change the lightbulb to this day😂😂😂,1,2025-03-06T03:21:23Z
@Roblowkawaii,When the tricycle broke it caught me off guard 😂😂😂😂,12,2025-01-25T02:37:44Z
@kingster14444,Sleeping on a treadmill looks exactly like how sleeping normally feels like,2512,2023-10-21T18:41:20Z
@Magiciscool,Can we just talk about how talented he is? HE SNOWBOARDED ON A TREADMILL,2673,2023-10-19T09:35:16Z
@mrquadrivium7497,"If this were an apartment, he&#39;d be the perfect upstairs neighbor.",1840,2023-10-16T20:27:52Z
@hazemshaarawy8673,😂😂The funniest moment I&#39;ve ever had was when he was sleeping. 😂😂😂😂😂😂,2,2025-01-25T10:49:53Z
@seancalixmijares8713,Bro you did all the possible  activities that you can think in a one single treadmill😂😂,5122,2023-10-30T05:36:18Z
@switchedaccountsmoveon,That one unemployed friend on a Tuesday morning,18236,2023-10-21T11:36:35Z
@Insincerities,The &#39;changing a lightbulb&#39; one was smth straight out of a 90&#39;s cartoon 😭,3154,2023-12-27T00:38:14Z
@liphuong8824,I think that is the most resilient  treadmill ive ever seen😅,1,2025-01-27T02:41:00Z
@sageDoseArt,This is the most athletic guy I know,4308,2023-11-02T01:47:16Z
@badgey3697,Disclaimer: no treadmills were harmed in the making of this video,3652,2023-10-21T17:11:55Z
@Im_bellur,“ your late” <br><br>“Sorry sir I was ironing my suit on my treadmill “,1415,2023-10-21T23:55:54Z
@unmitigatedgall8732,"LOL Kids, this guy&#39;s life is never boring!<br>And neither are ours, provided we keep watching his videos.<br>Never lose that hilarious inner child, Daniel 😅",0,2025-03-16T19:00:01Z
@Space_lov,The poor treadmill has gone through alot 😂,18192,2023-10-08T20:52:42Z
@GodKoalaa,The Unicycle was actually impressive 💀,2344,2023-10-18T07:10:16Z
@admantasc,"Treadmill: Dear diary, you can&#39;t understand my pain I had",3177,2023-11-04T14:47:24Z
@MetroBison,I like how when the tricycle brakes he just kinda pauses and stares at it then remembers that he is on a treadmill,1,2025-01-20T05:54:08Z
@Dem_Girls,Sleeping on a treadmill has to be the funniest one 😂,3620,2023-12-21T13:22:47Z
@gum_mix_9,Sleeping and sitting was next level of comedy material😂😂❤❤,645,2023-10-27T12:26:28Z
@SugarPopi,How people in physics questions riding a bike when the teacher says to ignore air resistance:,2305,2023-10-22T15:21:03Z
@Arrowdance,The sleeping part was hilarious! 😂,0,2025-03-09T00:18:23Z
