Author,Comment,LikeCount,PublishedAt
@michaelwagner5927,"Interesting how the note the ball makes when hitting the tuning fork is an octave and a 5th above it. One of the harmonics, not the fundamental",34263,2023-06-13T08:52:11Z
@cgabriel7311,I was playing my bass one day and discovered that the glasses in my cabinet are tuned to &quot;G&quot;,1048,2024-04-05T16:17:07Z
@arthurluwuge1629,Resonance is one of my favourite concepts. Such a powerful force,3714,2023-06-27T12:44:29Z
@MultiCren,You can do this on stringed instruments too. If you match the pitch of another string it will spontaneously vibrate.,14,2024-03-24T06:11:13Z
@vampirongosangronzon3165,Frequencies are incredible. If you play a guitar or bass very loud inside a house there is always a chord that move the whole house. My apartment is in A.,2941,2023-08-04T03:03:33Z
@RespecDName,People who can make learning fun are truly talented people,933,2023-06-26T21:07:41Z
@matthewnorman2951,Old 2-way radios (walkie talkies)worked by using grown crystals cut at the right size for the proper frequency resonance to activate the receiver. Every radio had a slice of crystal in it. Pretty wild.,317,2023-06-20T13:44:25Z
@matthewnorman2951,It is the same way 2-way radios know when to receive audio and play the sound from the carrier wave.,275,2024-03-02T02:46:20Z
@kevinlalla2434,Why I didn’t have a physics teacher like this in secondary school. Such a great way to explain resonance.,719,2023-07-11T21:12:20Z
@ryonatimefun7814,I love science demonstrations like this,644,2023-07-05T16:02:22Z
@cdrmusicaz,i wish every single reel on my feed was like this,642,2023-06-22T22:49:55Z
@AlEbnereza,They’re vibing.,132,2024-04-23T15:50:20Z
@liveintermission9145,My dude just explained the calibrated skulk sensors,8261,2023-06-15T08:51:04Z
@michaelhoulgate5818,This is how to teach physics. Great stuff.,816,2023-08-14T08:08:22Z
@harringtonshaw1865,"This is called sympathetic resonance, it’s part of the nuance of the sound of many instruments, especially strings!",548,2023-06-17T02:16:52Z
@larcomj,Great example. I think this is a good way to show how resonant inductive wireless power transfer works. Amazing how seeing the effect makes such an impact.,0,2024-07-13T23:34:24Z
@shaggy.patches,Sympathetic vibration is something we combat or harness in the musical world all the time. Great display of this property.,277,2023-06-22T05:30:02Z
@tom_something,"Right now, my neighbors are playing really loud music, and something in my room is resonating with the low end and rattling. So I&#39;m living this exact experiment right now.",248,2023-06-19T02:54:00Z
@henrykins,It&#39;s awesome how intuitive a lot of physics concepts are when you have the opportunity to just observe a good example of them.,500,2023-08-27T21:27:06Z
@tachina5655,"I found this out when I was a kid. My guitar was in the corner of my room and one day I decided to start singing, which I do normally, but this time I hit a note that perfectly matched the tune of one of my guitar strings and it started vibrating as I was singing.",1,2024-02-13T17:45:40Z
@jancarloanguiano5220,This sounds like a bell you would hear at a pier or shipyard.  It’s so relaxing.,729,2023-06-21T07:00:29Z
@HighMojo,I like how you used a ball to visibly illustrate the sympathetic vibration.,654,2023-06-19T17:40:16Z
@eldeefitty4473,"Same thing happens with playing stringed instruments. When an open string&#39;s note is played on another string, the open string will hum and vibrate, resonating with the frequency",393,2023-06-18T04:09:26Z
@TheOne-ry6mt,That&#39;s why we should be around people we resonate and vibe with on the same wave 😊,0,2024-09-09T06:08:01Z
@Drawfill,"harmonics are mindblowing.(not just talking about the sound version of them... it also happens in various settings like electric systems, mechanical systems, and so on...)",86,2023-06-21T03:07:41Z
@smokonlytree,This is how physics class should be. More people will be “Willing” to learn it and enjoy it.,624,2023-06-22T05:25:04Z
@aSIMetrical,Reminds me as a kid walking into the bathroom while performing vocal warm-ups and discovering that D# was the resonance frequency of the bathroom stalls.  The first time it happened sent chills down my spine as the whole bathroom got suddenly louder.,251,2023-06-20T13:35:13Z
@ANDunn-tf6xp,Now the pyramids in Giza are making sense,14,2024-03-01T14:39:20Z
@IvanKuckir,"If you have a guitar in a room, you can &quot;play any string&quot; just using your voice (at the right pitch), and you can still hear the string even after you become quiet.",725,2023-06-29T21:25:50Z
@tyoung9012,We used these to calibrate radio frequencies back in the day because the harmonic frequency of the fork was so precise,143,2023-06-18T17:17:09Z
@johanneswohler5476,this resonated to me in a lot of ways :),86,2023-07-06T15:14:13Z
@harshalkulthe6984,The tuning fork experiments were my favorite in 11th grade. It was just so great to learn acoustics and harmonic motion together,0,2024-05-22T15:10:57Z
@wailingalen,"I love sound wave experiments. As a musician this stuff fascinated me! Standing waves, harmonics, Fourier transform, all of it",50,2023-06-25T05:09:16Z
@corvusmonedulas4895,"For those wondering, it&#39;s called sympathetic resonance.<br>As a musician i forget how magic this is sometimes. Thanks for sharing to the world",66,2023-09-16T01:48:36Z
@GhostOfCaerbanOG,Sympathetic resonance makes my guitar strings sound every time my dog barks. 😂✌️,776,2023-11-28T18:42:11Z
@piyasaha5357,Thank u this video helped me understand sooooooo quickly &lt;3,1,2024-11-14T11:34:17Z
@zodidinsofute8218,When you naturally vibe with someone’s energy…I resonate 👌,328,2023-07-12T18:34:04Z
@liammcleod476,A really cool way to visualize how you can tune to varying radio stations depending on frequency,145,2023-07-19T04:24:42Z
@stevenroper3577,"I knew about sympathetic frequencies and feedback, but this is incredible. This might help explain why people experience music/vibes and so on, as they do.",343,2023-07-04T00:46:38Z
@go-to-study,Wow😲Physics cs is really nice I love it💗,0,2024-01-17T10:17:25Z
@foleysmith6779,I use this property to tune my guitar. there&#39;s actually a physical technique stringed musicians use called harmonics where we separate the string at very specific spots to make one string resonate 2 notes.,179,2023-06-20T07:48:20Z
@yououtuber4176,That is why I keep friends who resonate with me,107,2023-12-30T14:54:54Z
