Author,Comment,LikeCount,PublishedAt
@Sakshishah911,Funny face 😂,38962,2024-07-12T12:49:07Z
@Martinez3134,Ver los telefonos ❌️ver la cara ✅️,30875,2024-07-13T23:19:54Z
@beckysmith63,The mini mini smartphone face is just flat out creepy 💀,7336,2024-07-17T15:21:40Z
@baonam_fake,His phone❌️<br>His face✅️,7,2025-01-31T06:11:56Z
@wiebkerast-kosch379,July: ❎<br><br>Christmas: ✔️,1292,2024-07-16T22:40:21Z
@aboyle2023,Watch the video❌<br>Think abt how much this reminds me of 2020✅,1589,2024-07-16T11:06:42Z
@OliveOil2011,1% smartphone<br>99% funny faces,825,2024-08-04T05:11:21Z
@padmaagarwal4115,Phones:🚫🙅‍♀️<br>Faces that dont exist and makes more likes for me:👍🏽👌🏻🙆‍♀️🆗️🆒️🆗️,5,2025-01-02T11:29:23Z
@x10000000,That tablet was clean fr 💀,823,2024-07-19T11:43:47Z
@Eli-gz3sv,The creativity : 👍🏻 <br>The faces : 😂,884,2024-07-19T05:10:03Z
@Elpachino22,looking at the phone:❌<br>looking at his face:✅<br>Edit:Thank you for 60 likes Hope you have a great day😊🎉<br>Edit 2: thank you for the 201 likes<br>Edit 3 Thank you so much i think im famous lol Happy birthday to me at august 26😁<br>Edit 4:im crying about the likes thank you,1222,2024-07-14T01:16:29Z
@racheldanemanuellasilala-gr2ct,Take a look at his HP ❌<br>Take a look at his face ✅,1,2025-01-07T10:30:04Z
@KS_President,Mom: You always look beautiful<br>Me at the mirror:,204,2024-07-15T11:42:49Z
@user-wl2tr7di2b,Bros playing a Christmas song for his video in the middle of July 💀,217,2024-07-18T00:07:53Z
@mihhw,Prestar atenção nos celulares❌<br>Rir da cara dele✅,378,2024-07-16T18:48:34Z
@anazthaziatantoco9454,The mini smartphones:😊<br>The faces: 💀,0,2025-01-13T12:58:53Z
@Orochi_and_Sakura,Why ani&#39;t nobody talking bout him fliping us off in the flip phone💀🙏,266,2024-11-11T06:51:59Z
@ItzaJuegaUwU,Ver los modos de celulares:🙂<br>Ver las caras:😅😂🤣<br>Edith:tengo 1.3 likes es mucho soy famous a y al q me dijo que borrara cuenta disculpenlo se escapo del orfanato😂🤣😅,1331,2024-07-14T23:30:07Z
@Qmleuegai,"Cara tu é incrível, todos conseguem compreender e entender seus vídeos",383,2024-07-19T01:07:54Z
@Floppa-u7w,EL TELEFONO :ESTOY CANSADO JEFE CANSADO,1,2025-01-29T00:56:46Z
@Cool_clips4u,“Tabilet” hits hard 🗣️🗣️🗣️🗣️🔥🔥🔥,176,2024-12-25T17:36:19Z
@amyanddrewgaming,See the phones:🚫<br>See the goofy ahh faces:✅️,88,2024-07-17T01:09:53Z
@nikobajlo,Why did i thought at first it was gonna clean the phone💀<br><br>Edit:THX FOR 36 LIKES,365,2024-07-21T15:31:57Z
@sernykatharpi3515,I have a tablet but THE FACE 💀😭,1,2025-01-06T04:57:38Z
@riswanajaffersheriff9500,Sowing types of gadgets ❌<br>Making funny faces ✅<br>😂😂😂,71,2024-11-27T12:28:58Z
@HamOficial,1% : español<br>99% : gringos: brasileños ingleses chinos koreanos rusos mandarinas xd,261,2024-09-19T17:55:37Z
@Liethailly-m8h6n,The phone at the start looks USED ✋😭,7,2024-11-12T05:45:49Z
@DrewCater-p5e,His face on the 2nd one😂😂,1,2025-01-03T11:52:57Z
@MaxsonJimenez-Orr,His eyes on the mini mini smartphone got me😂😂😂,44,2024-10-12T22:24:32Z
@HoloHobileHan1995,0% smartphone<br>99% funny faces,266,2024-10-10T18:59:39Z
@Shinystarzzzz.,THAT IPAD WAS SMOOTH AF THOUGH,87,2024-07-18T15:37:11Z
@salinikhotkham3454,he&#39;s face no i cant😂,1,2025-01-01T11:21:06Z
@felippegamer1266,Os gringos dominaram os vídeos dele kkk,119,2024-08-08T14:10:29Z
@LosRandomYT,Ver teléfonos ❎❎ ver las caras ✅,82,2024-11-12T02:08:46Z
@gamerboyueki6073,The face caught my whole family off guard😂😂😂😂😂,12,2024-07-15T17:48:55Z
@Brooklyn_2154,3% Phone<br>1000% goofy ahh faces💀👌,0,2025-01-03T16:10:54Z
@E.Miguel02,As caras são as melhores kkk😂😂,13,2024-11-28T00:23:47Z
@PedroRodrigues-b8y,A cara dele: 🚿🥷🫥😶‍🌫️🥶,12,2024-08-11T18:29:00Z
@Mika-sg8ub,Watching Smartphones ❌️<br>Watching his faces✅️,11,2024-07-18T11:51:20Z
@SICKDUDE0876GAMING,The finger prints on the phone 😭 🙏,1,2025-02-17T03:12:44Z
@CarlaSilva-et7mr,"o SpiderSlack é incrível,ele é brasileiro e ele atrai várias pessoas de outros países porque nos vídeos dele ele não fala nada por isso tem várias pessoas de outros países que assistem o vídeo dele😊😊😊",36,2024-12-22T16:32:09Z
@P3uuuuuu,Finalmente um vídeo que o Slack não se ferra,57,2024-07-17T00:02:47Z
@maguadalupevazquez,Ver el celular❌<br><br>Ver su hermosa cara✅,54,2024-09-21T18:30:11Z
@DojoNoah23,Laptop got me rolling on the floor 💀,2,2025-01-13T05:51:27Z
@zaidemmanuelruizjimenez3409,Ver el teléfono ❌<br><br>Ver la caras ✔️,105,2024-07-14T17:25:53Z
@Gavahokie,THAT FIRST FACE GOT ME ROLLING💀😭🙏,88,2024-07-21T03:31:52Z
@Chifaa1923,😂😂😂😂😂😂    its super funny <br>😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,29,2024-07-12T22:20:20Z
@serllimeisendi,Mini smartphone ❌<br>Mini face ✅😂,0,2025-01-05T04:53:15Z
@극tv,얼굴을보려고 노력을 하는데 얼굴에 자꾸 시선이......❤,49,2024-07-19T13:15:19Z
@Zainirain,Bro dropped the best idea to fool the people 😂,26,2024-11-19T18:30:11Z
