Author,Comment,LikeCount,PublishedAt
@PotataUnknown,Friend: Can I use your toilet?<br>Her: Oh sorry it’s cake,6381,2024-07-01T19:52:27Z
@charlesokpomo7076,"Imagine if her whole house was cake<br>Edit:mom I am now popular! TY for the likes, well the likes really blowed! up almost 1k wow<br>Edit2:I can’t believe It but I have to say it :<br>MAMA I AM THE FaMOUS!",1744,2024-06-04T16:29:20Z
@Valera-228-mmm,Мир сошел с ума!!!!!!! 😨😮,188,2024-06-16T02:04:59Z
@Roudina-d7h,Not trying to to be rude but how are you not sick like do you eat cake every day😅 you blood sugar could goes up so good luck😬,133,2024-06-09T02:06:37Z
@Красный_Зинт,"Когда хочется чего-нибудь сладкого к чаю,а дома ничего сладкого нет и в магазин лень идти:",79,2024-07-07T17:26:27Z
@MarianaNicolyAlvesOliveira,Imitating Vivi Caik there with me and envious 🤨,18,2024-06-12T03:53:17Z
@kuntasingh5513,I love cake 🎂🎂🎂,159,2024-06-23T07:36:40Z
@ЕкатеринаВечная-ь8ъ,"Я бы не удивилась, если бы кран с текущей водой был тортом …",36,2024-06-26T19:16:58Z
@sabina.musaeva-vz4fz,"Какая нежная, сразу видно воспитанная, скромная ❤",15,2024-11-12T20:53:37Z
@АсиятМагамедова-о2ф,У нас такая же тарелка 😊,87,2024-06-02T15:13:06Z
@QwerGsgdg,It&#39;s Omar&#39;s sister❤❤️‍🔥❤❤❤😍😍😍😍😍,14,2024-05-31T17:54:22Z
@Ckil123,Весь дом скоро в шакаладе будет😂😂😂😂,28,2024-06-21T23:48:51Z
@MossOn4Pawz12,People who have trust issues💀<br>👇,1545,2024-06-17T11:23:26Z
@Pinkunicorn148,You’re amazing cake genius,770,2024-06-04T19:32:42Z
@Gabilima6,Quem prefere a vivi cake da o like<br>Aqui👇,72,2024-07-04T22:26:56Z
@Kira_kotik_7,Удивительно что она сама не из торта,220,2024-06-23T20:08:01Z
@ҰлжанСерікболқызы,Я когда она мыло сьела  думала что она съест кран😂😂,10,2024-09-06T08:35:25Z
@isidoraorellana2030,La sopa se veía un poco falsa<br><b>Aquí los q se confundieron</b><br>👇,48,2024-07-03T02:20:51Z
@marianabentosantanna5553,Quem prefere a Vivi Capes deixa o like,292,2024-06-30T20:44:37Z
@YoudelinJean-zd6hq,Pourra-t-elle faire des gâteaux en plume et en cahier pour les écoliers je serai si contente 😊😊😊😊à septembre 😮😄😄😄,105,2024-06-14T02:46:13Z
@manarmagdy2294,She&#39;s really great at doing desserts <br>az You can also teach you how to do it in an easy and quick way<br>😍😍😍,29,2024-09-03T04:30:06Z
@HdkfkjfJfjdjf,I want a house like this 🙂,9,2024-11-21T22:38:55Z
@Kaydebowman,Everything at this point in her life is CAKE 🍰,33,2024-07-19T21:05:29Z
@FunnyMemesDaily_YT,I think the plate at the start was cake as well xD,6,2024-10-23T12:44:36Z
@BPxBM1,Friend:Why ur body is smelly<br>She:Oh sorry! I made of cake😊,8,2024-09-24T19:08:45Z
@иванантипин-о7т,Пускай попробует свою лампу<br>Кто согласен тыкать сюда<br>👇,21,2024-10-24T19:27:41Z
@premchandsahani5138,वेरी नाइस ❤️❤️❤️👍👍,132,2024-05-28T09:31:51Z
@kindergarten-j6x,Make Water cake and eat it 😂😂😊,15,2024-10-03T14:04:00Z
@СодооБилгээ,Don&#39;t waste water🙏🌊,18,2024-06-12T11:57:48Z
@ChloeBells-vo9vs,DIABETES💀💀💀,1,2024-12-08T19:56:46Z
@monishaanair3510,Genie : this is your last wish. What do you want?<br>Her : cake cake cake cake cake,43,2024-05-29T08:32:53Z
@GajendranPrajesh,Friend : can i use your Bedroom😊<br>Me: ok <br>Friend: why your pilo is like hard <br>Me : oh sorry its a cake😅😅,6,2024-12-08T16:18:37Z
@GemmaFlack,Why u so good at that😭😭😭💅🏽💅🏽💅🏽💅🏽,15,2024-08-31T22:23:09Z
@firmansyah07233,Finally Detol released a chocolate product 🥰🥰🥰,0,2024-12-01T12:26:05Z
@Asherlara-l2c,When you are hungry but your mom says you can’t eat any foods until tonight 😂😂😂,45,2024-09-22T18:10:02Z
@cinthyajulissa3738,Extraño : puedo sentarme <br>Ella : es pastel <br>El :🙄👁👀,10,2024-10-19T01:29:54Z
@Елена-н6ж8ф,Как ты это делаешь так красиво ❤🎉,25,2024-09-25T14:51:05Z
@Tipichni_Temshik,Ребята давайте наберём 4м❤❤❤<br> потому что она очень старается 😢😢😢,0,2025-03-10T14:10:41Z
@kitty.maryeva,"@ViviCake versão gringa 🤣kkk, só os brasileiros curtir👉",9,2024-09-12T01:56:47Z
@user-ng2ci6ic5v,"во втором кадре ты похожа на мою подругу , тебя случайно не Сусанна зовут ?",15,2024-06-26T16:50:11Z
@SonaCabbarli-bn7cn,Может она сама торт... Ребят мы много чего не знаем походу😂😅,21,2024-09-12T13:55:49Z
@TV-bk5uj,🍰🍰🍰🍰🍰🍨🍨🍨,2,2024-10-28T13:54:25Z
@ivanellaworld9809,Next episode : water is cake💀,31,2024-08-18T22:45:55Z
@anniesfit,"Сначала не поняла, а потом как поняла🤣",14,2024-05-03T12:05:36Z
@Boloved_bobette,911 what’s you emergency?!<br>Me:my soap ain’t soaping👁️👄👁️,22,2024-07-05T02:50:50Z
@lenfantaurore8607,Tu fais des gâteaux trop beau mettez-moi des like parce que elle fait des gâteaux trop beau s&#39;il vous plaît.😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-02-01T12:29:43Z
@fatimapaolamorales9744,"It&#39;s very cool, just don&#39;t let the water go.",9,2024-06-13T01:18:17Z
@RituRitu-hw2yi,🎉🎂🎂🎂🎉,52,2024-05-28T07:48:36Z
@KarinaDiaz-cf7xf,My Little Coussin in he&#39;s house:,13,2024-06-30T04:24:57Z
@Waltmhan,"I&#39;m telling you, one day she is gonna eat her entire house 💀",1,2024-10-29T19:29:51Z
