youtube_url,error
https://www.youtube.com/shorts/AGCyLqLuUJ0,AGCyLqLuUJ0 is unavailable
https://www.youtube.com/shorts/uupXcgeP0-w,"uupXcgeP0-w requires login to view, YouTube reason: Please sign in"
https://youtube.com/shorts/u2HvKEGq3Ik,u2HvKEGq3Ik is unavailable
https://youtube.com/shorts/eU5I-p1HcUs,eU5I-p1HcUs is unavailable
https://youtube.com/shorts/lfitOyblkDQ,lfitOyblkDQ is unavailable
https://youtube.com/shorts/PH3yeSEgiGE,PH3yeSEgiGE is unavailable
https://youtube.com/shorts/boEKlG35qHM,boEKlG35qHM is unavailable
https://youtube.com/shorts/jfE_el65Sv0,"jfE_el65Sv0 requires login to view, YouTube reason: Please sign in"
https://www.youtube.com/shorts/0pWDMjpDKKQ,0pWDMjpDKKQ is unavailable
https://www.youtube.com/shorts/vln9tIS2yWg,vln9tIS2yWg is unavailable
https://www.youtube.com/shorts/RBz8pTO0ySw,RBz8pTO0ySw is unavailable
https://www.youtube.com/shorts/Ai4fCLMGL9Y,Ai4fCLMGL9Y is unavailable
https://www.youtube.com/shorts/l2erI86JxzE,"l2erI86JxzE requires login to view, YouTube reason: Please sign in"
https://www.youtube.com/shorts/fBExhFE2-ew,fBExhFE2-ew is unavailable
https://www.youtube.com/shorts/E2ILLN8TiPA,E2ILLN8TiPA is unavailable
https://www.youtube.com/shorts/XCkJcIeGhS0,XCkJcIeGhS0 is unavailable
https://www.youtube.com/shorts/pPiXRxb2Vfo,pPiXRxb2Vfo is unavailable
https://youtube.com/shorts/6qHXenlRDH4,"6qHXenlRDH4 has an unknown error, check logs for more info [Status: ERROR] [Reason: This video is no longer available due to a privacy claim by a third party]"
